question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
1401. a 22yo greek man presents with rapid anemia and jaundice following tx of malaria. he is noted to have heinx bodies. choose the single most likely cause from the given options?,a. g6pd deficiency,b. anemia of chronic disease,c. pernicious anemia,d. ida,e. vit b12 deficiency,,,,,,"key: the key is a. g6pd deficiency. [g6pd (glucose-6-phosphate dehydrogenase) deficiency exacerbated by administration of oxidant drugs (e.g., primaquine, dapsone, quinidine) can also result in heinz bodies].",,
1402. a 65yo has terminal cancer and his pain is relieved by a fentanyl patch but he now complains of shooting pain in his arm. which of the following will add to his pain relief?,a. gabapentin,b. radiotherapy,c. amitryptiline,d. morphine,,,,,,,key: the key is a. gabapentin. [shooting in the arm indicates neuropathic pain for which both amytriptiline and gabapentin can be used].,,
"1403. a 45yo male alcoholic presents after a large hematemesis. he has some spider naevi on his chest, bp=100/76mmhg, pulse=110bpm. he has a swollen abdomen with shifting dullness.",a. gastric ca,b. mallory-weiss tear,c. esophageal ca,d. esophageal varices,e. esophagitis,f. peptic ulceration,,,,,key: the key is d. esophgeal varices. [spider nevi and ascites suggest advanced liver disease. here in alcoholic middle aged man having large hematemesis with above mentioned features are very suggestive of bleeding from esophageal varices secondary to portal hypertension in liver cirrhosis].,,
"1404. a 23yo woman presents with a 1cm small smooth, firm, mobile mass in her left breast. she is very anxious. what is the most appropriate inv?",a. mammography,b. us breast,c. fnac,d. mammography and us,,,,,,,key: the key is b. us breast. [this is fibroadenoma of the breast (breast mouse) for which us of breast is the appropriate investigation and if it reveal a fibrous lump we shall go for fnac. another point a doctor should know that for any suspicious breast lesion radiology should must be done before options of biopsy and investigation of choice in radiology is us scan before the age of 35 and mammography after the age of 35. in that term also for this case the investigation of choice is us breast].,,
"1405. a pt was admitted with abdominal pain, diarrhea, pigmented palmar creases and buccal mucosa. what is the most probable dx?",a. addison’s disease,b. cushing syndrome,c. pheochromocytoma,d. hyperthyroidism,e. hypoparathyroidism,,,,,,"key: the key is a. addison’s disease. [abdominal pain, diarrhea, pigmented palmar creases and buccal mucosa are well known features of addisons disease].",,
"1406. a 36yo pt came with diarrhea, bleeding, weight loss and fistula. what is the single most likely dx?",a. colorectal ca,b. celiac disease,c. cd,d. uc,e. ibs,,,,,,key: the key is c. cd. [bloody diarrhea can occur in both cd & uc. also weight loss is common! but fistula formation is unique feature of cd].,,
1407. a 45yo man has undergone detox and now wants a drug to stop him from craving alcohol. what med would be that drug of choice?,a. disulfiram,b. acamprosate,c. thiamine,d. naloxone,e. diazepam,,,,,,key: the key is b. acamprosate. [disulfirum is a deterrent which does not reduce craving. acramposate by restoring deranged brain chemical reduces craving].,,
1408. a 68yo man awoke to find that he is unable to close his left eye and dribbling saliva from the left angle of his mouth. what is the single most appropriate option?,a. facial nerve,b. glossopharyngeal nerve,c. hypoglossal nerve,d. optic nerve,e. vagus nerve,,,,,,key: the key is a. facial nerve. [features are suggestive of left sided facial nerve palsy].,,
1409. a 19yo female dx with trichomonas vaginalis. lmp was 10d ago. what is the best antibiotic tx?,a. erythromycin,b. vancomycin,c. metronidazole,d. penicillin,e. clarithromycin,f. doxycycline,g. fluconazole,h. clotrimazole,,,key: the key is c. metronidazole.,,
1410. a 35yo man has been given a dx of allergic rhinitis and asthma. exam: peripheral neuropathy with tingling and numbness in a ‘glove and stocking’ distribution. skin elsions are present in the form of tender subcutaneous nodules. the pt is responding well to corticosteroids. what is the single most appropriate dx?,a. as,b. churg-strauss syndrome,c. crytogenic organizing,d. extrinsic allergic alveolitis,e. tropical pulmonary eosinophilia,,,,,,"key: the key is b. churg-strauss syndrome. [the american college of rheumatology has identified six criteria for the diagnosis of css:[3] •	asthma (wheezing, expiratory rhonchi). •	eosinophilia of more than 10% in peripheral blood. •	paranasal sinusitis. •	pulmonary infiltrates (may be transient). •	histological confirmation of vasculitis with extravascular eosinophils. •	mononeuritis multiplex or polyneuropathy. the presence of four out of six of these features has a high specificity and sensitivity for the diagnosis of css].",,
1411. a 28yo woman comes with sudden onset vomiting and pain per abdomen. exam: mobile swelling in the right iliac fossa. what is the most probable dx?,a. ectopic pregnancy,b. tubo-ovarian abscess,c. acute appendicitis,d. ovarian torsion,e. diverticulitis,,,,,,key: the key is d. [as there is no history of amenorrhea ectopic pregnancy is less likely. so dx is possible ovarian torsion].,,
"1412. a 68yo man on tx for an irregular heart beat comes to the ed. he has palpitations for the last 3h. exam: pulse=regular, 154bpm. carotid sinus massage settled his pulse down to 80bpm. what is the most likely rhythm disturbance?",a. svt,b. v-fib,c. vt,d. v-ectopics,e. a-fib,,,,,,key: the key is a. svt. [regular tachycardia responding to vagal maneuver is likely svt].,,
"1413. a 43yo man with a hx of hospital admissions talk about various topics, moving from one loosely connected topic to another. what is the most likely dx?",a. psychosis,b. mania,c. schizophrenia,d. pressured speech,e. verbal diarrhea,,,,,,key: the key is b. mania. [flight of idea is common in mania].,,
"1414. an 18yo girl presents with rash on her trunk, abdominal pain, arthritis, proteinuria and hematuria. what is the most probable dx?",a. ttp,b. itp,c. hsp,d. hus,e. measles,,,,,,"key: the key is c. hsp. [henoch-schönlein purpura (hsp) is an acute immunoglobulin a (iga)–mediated disorder characterized by a generalized vasculitis involving the small vessels of the skin, the gastrointestinal (gi) tract, the kidneys, the joints, and, rarely, the lungs and the central nervous system (cns). rash on trunk, abdominal pain, arthritis, proteinuria and hematuria are well known features of hsp].",,
1415. a pt is on loop diuretics. what effect do loop diuretics produce?,"a. low na+, low k+","b. low na+, normal k+","c. normal na+, normal k+","d. high na+, low k+","e. high na+, high k+",,,,,,"key: the key is a. low  na+, low k+. [loop diuretics causes hyponatremia and hypokalemia].",,
1416. a 6yo girl is being investigated for renal failure. she is found to have a congenital abnormality of the insertion of the ureters into the urinary bladder. what is the single most likely cause for renal failure in this pt?,a. sle,b. pkd,c. wilm’s tumor,d. acute tubular necrosis,e. reflux nephropathy,,,,,,key: the key is e. reflux nephropathy. [reflux nephropathy is kidney damage (nephropathy) due to urine flowing backward (reflux) from the bladder toward the kidneys; the latter is called vesicoureteral reflux (vur)].,,
1417. a 76yo man is in the ccu 2d after an acute mi. he tells you that he had an episode of rapid pounding in the chest lasting for about 2mins. he remains conscious throughout. what is the most likely rhythm?,a. svt,b. vf,c. vt,d. v-ectopics,e. a-fib,,,,,,"key: the key is c. vt. this is wrong key. correct key is d. v-ectopics. [why not vt? non sustained vt lasts less than 30 seconds. so it is not non sustained vt. again sustained vt causes syncope, but patient was conscious. so it is not sustained vt as well. there may be runs of v-ectopics. so the answer is d. v-ectopics].",,
1418. a 49yo man comes with hx of cough and sob. his cd4 count is measured as 350. cxr shows lobar consolidation. what is the single most appropriate option?,a. mycobacterium avium intercellular,b. cmv,c. streptococcus,d. toxoplasmosis,e. pneumocystis jerovici,,,,,,key: the key is c. streptococcus. [features are consistent with lobar pneumonia].,,
1419. a 32yo woman with prv hx of pid now presents with severe abdominal pain. her lmp was 8wks ago. what is the most probable dx?,a. ectopic pregnancy,b. ovarian torsion,c. hematometrium,d. chronic pid,e. cholecystitis,,,,,,key: the key is a. ectopic pregnancy. [pid is a risk factor for ectopic pregnancy].,,
"1420. a 25yo who is 38wks pregnant presents to the labour ward with a hx of fewer fetal movements than usual during the evening. she also says that abdominal contractions are coming every few minutes and she is having a blood stained show per vagina for the last few minutes. exam: cervix is fully affaced, 9cm dilated, cephalic presentation and station is +1. choose the single most likely dx?",a. aph,b. concealed hemorrhage,c. labour,d. iufd,e. iugr,,,,,,"key: the key is c. labour. [abdominal contractions coming every few minutes, having blood stained show per vagina, fully effaced cervix with dilatation of 9 cm, cephalic presentation and station +1 suggests that the patient is in labour].",,
"1421. a 30yo woman has a painless lump in the outer aspect of her left breast. she has had a prv breast lump. her grandmother had breast cancer at 70yrs. she has a 1cm smooth, firm, discrete, mobile lump in the other quadrant region of the left breast. what is the single most likely dx?",a. breast abscess,b. breast carcinoma,c. breast cyst,d. fibro-adenoma,e. sebaceous cyst,,,,,,"key: d. fibroadenoma. [h/o previous brest lump and presently with a lump of 1 cm size which is smooth, firm (not hard), discrete and mobile (not fixed) suggests fibro-adenoma].",,
1422. a 38yo woman is in the ed following an od of her meds. she doesn’t need med tx for the od. she says she wishes to be discharged. what is the single most appropriate management?,a. community psychiatric nurse visit,b. psychiatric opd review  the next day,c. prescribe anti-depressants,d. admission under the mental health act,e. discharge and allow to go home,,,,,,key: the key is d. admission under the mental health act. [there is every chance of repeat over dose. so she should be admitted under mental health act].,,
1423. a 63yo male presents after having had a seizure. exam: alert and oriented. exam: inattention on the left side and hyperreflexia of the arm. what is the most probable dx?,a. cerebral tumor,b. pituitary adenoma,c. cerebellar abscess,d. huntington’s chorea,e. parkinsonism,,,,,,key: the key is a. cerebral tumour.,,
"1424. a 70yo lady on raloxifene for osteoporosis has recently to the uk from australia. she now presents with severe chest pain, sob and suddenly collapsed in the ed. what is the single most appropriate dx?",a. mi,b. aortic dissection,c. pulmonary embolism,d. costochondritis,e. pneumothorax,,,,,,key: the key is c. pulmonary embolism. [prolonged air travel is a risk factor for pulmonary embolism].,,
1425. a 35yo woman complains of hoarseness of voice 3h after partial thyroidectomy. she had no hx of phonation probs before the surgery. what is the single most appropriate inv?,a. laryngoscopy,b. bronchoscopy,c. ct neck,d. cxr,e. barium swallow,,,,,,key: the key is a. laryngoscopy. [probable diagnosis is recurrent laryngeal nerve palsy].,,
"1426. a 40yo pt came to opd with complaint of fever, pleuritic chest pain, productive cough and painful vesicles around the lips. exam: temp=38c. he has a hx of splenectomy last yr. what is the single most likely causative organism?",a. pneumococcal pneumonia,b. staphylococcus,c. klebsiella,d. streptococcus,e. chlamydia psitacci,,,,,,key: the key is a. pneumococcal pneumonia. [painful vesicles around the lips is well known association of pneumococcal pneumonia. also pleuritic chest pain and productive cough are present in pneumococcal pneumonia].,,
"1427. a 37yo male pt who recently returned back to uk from uae attends the opd with complaint of dry cough, breathlessness and anorexia. according to him he had flu like symptoms a week ago. he is slightly confused. inv: lymphopenia & decreased na+. cxr: bi-basal consolidation. what is the single most likely causative organism?",a. legionella,b. chlamydia pneumonia,c. pcp,d. viral pneumonia,e. chlamydia psitacci,,,,,,"key: the key is a. legionella. [h/o travel (staying in ac and watersystem of hotel), lymphopenia, decreased na+, bi-basal consolidation are well known features of legionnaires disease].",,
"1428. a 20yo student came to the opd with complains of headache, malaise, dry cough, joint pain and vomiting. exam: temp=39c. cxr: patchy consolidation. what is the single most likely causative organism?",a. pneumococcal pneumonia,b. mycoplasma,c. klebsiella,d. streptococcus,e. pcp,,,,,,key: the key is b. mycoplasma.,,
"1429. a 45yo man presented to his gp with vague symptoms of headache, proximal muscle weakness and nocturia. test results show him to be severely htn (230/130mmhg) and hypokalemic. what is the most probable dx?",a. addison’s disease,b. conn’s disease,c. familial hyperaldosteronism,d. cushing’s disease,e. cushing’s syndrome,,,,,,key: the key is b. conn’s disease. [high bp is often the only presentation of conn’s syndrome. loss of k+ in urine leads to hypokalemia which in turn causes muscle weakness and polyuria particularly nocturia].,,
1430. a man says his insides are rotting and nobody has burried him. which term best describes his condition?,a. delusion of nihilism,b. delusion of guilt,c. delusion of persecution,d. incongruent affect,e. clang association,,,,,,key: the key is a. delusion of nihilism.,,
1431. a man with chronic cough presents with copious purulent sputum. what is the single most dx?,a. bronchitis,b. bronchiectasis,c. copd,d. pneumonia,e. emphysema,,,,,,key: the key is b. bronchiectasis.,,
"1432. a 32yo man working in a shipyard comes with sob. exam: dullness on left side of the chest, pain in left side of chest, pleuritic rub and crackles been heard on the same side. what is the single most likely dx?",a. pericarditis,b. pleurisy,c. pleural effusion,d. ccf,e. tb,,,,,,key: the key is c. pleural effusion. [shipyard worker are exposed to asbestos and presenting case has developed mesothelioma causing pleura thickening and pleural effusion. though it is usual that in pleural effusion pleural rub reduces or becomes absent but it is also possible to get pleural rub even in pleural effusion and the like diagnosis is pleural effusion here].,,
"1433. a 67yo female presents with balance prbs. exam: nystagmus on left lateral gaze, a loss of the left corneal reflex and reduced hearing in the left ear. what is the most likely dx?",a. meniere’s disease,b. acoustic neuroma,c. cerebral abscess,d. pituitary tumor,e. gentamicin,,,,,,"key: the key is b. acoustic neuroma. [nystagmus, loss of corneal reflex, hearing loss, balance problem are well known feature of acoustic neuroma].",,
1434. a 22yo man reports a 2d hx of hoarseness of voice. he denies any weight loss but he has been smoking for 4yrs. what is the single most appropriate inv?,a. none,b. laryngoscopy,c. bronchoscopy,d. bal,e. cxr,,,,,,key: the key is b. laryngoscopy. it is a wrong key! correct key is a. none. [if horseness is of >3 weeks in man >50 yrs and smoker and heavy drinker to rule out cancer do cxr and\or laryngoscopy- nice guideline].,,
1435. a 34yo ivda (intravenous drug addict) presents with a 4m hx of productive cough. he has lost 10kgs. what is the single most appropriate inv?,a. sputum for afb,b. laryngoscopy,c. bronchoscopy,d. ct neck,e. cxr,,,,,,key: the key is a. sputum for afb. [in ivda immunity becomes low and easily gets infected with tb].,,
"1436. a 25yo pt came to the opd with complaint of fever, malaise, breathlessness, cough and anorexia. his gf has got similar symptoms. he had hx of sore throat and ear discharge a month ago. what is the single most likely causative organism?",a. legionella,b. mycoplasma,c. chlamydia pneumonia,d. pcp,e. chlamydia psitacci,,,,,,key: the key is c. chlamydia pneumonia.,,
"1437. a 72yo male presents with acute confusion. he has been in the hosp for 2wks having been treated for a dvt. the nurses have noticed that he became increasingly drowsy. exam: small scalp laceration, a gcs of 8 and bilateral up-going plantar response.",a. infection toxicity,b. delirium tremens,c. extradural hematoma,d. subdural hematoma,e. electrolyte imbalance,,,,,,"key: the key is d. subdural hematoma. [even trivial head trauma can lead to subdural hematoma. presence of small scalp laceration, confusion and becoming increasingly drowsy glasgow coma scale of 8 are suggestive of subdural hematoma].",,
"1438.  a 50yo dm pt came to the opd with complaint of fever, muscle ache, dry cough and anorexia. inv: cxr=upper lobe cavitation. what is the single most likely causative organism?",a. legionella,b. mycoplasma,c. staphylococcus,d. klebsiella,e. streptococcus,,,,,,key: the key is d. klebsiella. [upper lobe cavitation favours klebsiella pneumonia. also it is well known that staphylococcal and klebsiella pneumonia are more common in dm than normal person].,,
1439. a 20yo man complains that all his movements are being watched. sometimes he feels as though his actions are being controlled by his radio. at other times he is aware of voices describing what he is doing. what is the most probable dx?,a. mania,b. drug induced psychosis,c. delusion of control,d. schizophrenia,e. korsakoff psychosis,,,,,,key: the key is d. schizophrenia.,,
"1440. a 35yo is agitated and euphoric. he claims to be helping the prime minister with economic policy, although this is not true when checked. what is the most likely dx?",a. mania,b. schizophrenia,c. hypomania,d. drug induced personality disorder,e. delusion of grandeur,,,,,,"key: the key is e. delusion of grandeur. key is wrong! correct key should be mania. [agitated, euphoric and delusion of grandiosity makes the likely dx to be “mania”. agitation and euphoria are not feature of delusion of grandiosity but mania].",,
"1441. a 20yo student who recently visited asia came to the opd with complains of low grade fever, night sweats, anorexia and productive cough. inv: cxr=cavitatory lesions in upper lobes. what is the single most likelt causative organism?",a. mycoplasma,b. klebsiella,c. tb,d. pcp,,,,,,,"key: the key is c. tb. [low grade fever, night sweats, anorexia, dry (initially) or productive cough,  and upper lobe cavitary lesions are highly suggestive of tb].",,
1442. a 35yo man with t1dm is dehydrated with bp=90/50mmhg. what is the single most appropriate initial inv?,a. abg,b. cbc,c. hba1c,d. lft,e. bue,,,,,,key: the key is a. abg. [the likely dx is dka. among the given options abg is the most appropriate inv. to demonstrate acidosis].,,
1443. a 45yo woman presents with pruritis. exam: skin pigmentation. inv: raised alp and presence of anti-mitochondrial antibodies. what is the single most likely dx?,a. psoriasis,b. scabies,c. atopic eczema,d. dermatitis herpetiformis,e. hyperthyroidism,f. primary biliary cirrhosis,,,,,"key: the key is f. primary biliary cirrhosis. [pruritus, skin pigmentation (increased amounts of melanin, widely dispersed throughout both epidermis and dermis), raised alp, and presence of ama are diagnostic of primary biliary cirrhosis].",,
"1444. a 60yo man complains of tiredness, lethargy and itching that is severe after a hot bath. he also has nocturia, polyuria and nausea and vomiting. exam: pallor, pigmentation and generalized edema. what is the single most likely dx?",a. hyperthyroidism,b. lichen planus,c. lymphoma,d. eczema,e. liver failure,f. crf,,,,,key: the key is f. crf. [given picture is typical of crf].,,
1445. a 30yo man complains of vague pain in the loin with bp=140/90mmhg. he is found to have proteinuria and hematuria. what is the inv to confirm the dx?,a. abdominal us,b. anca,c. ana,d. urine microscopy and culture,e. stool culture,,,,,,key: the key is a. abdominal us. [the likely dx is adpkd for which us is diagnostic investigation].,,
1446. a 54yo man comes with sudden onset of palpitations and breathlessness. his hr=164bpm. what is the single most appropriate tx in the acute phase?,a. adenosine,b. metaprolol,c. verapamil,d. amiodarone,,,,,,,key: the key is a. adenosine. this is wrong key! correct key is b. metoprolol. [the only arrhythmia where we use acute and chronic phase is af. so though the given key is adenosine it is a wrong key!! it is acute phase of atrial fibrillation for which we use beta-blocker. so the answer should be b. metoprolol here].,,
1447. a 29yo woman has developed an itchy scaly rash particularly over her wrist with fine white streaks overlying the lesion. her nails have ridges and her buccal mucosa is lined with a lacy white pattern. what is the single most likely dx?,a. psoriasis,b. scabies,c. urtericaria,d. dermatitis herpetiformis,e. hyperthyroidism,f. lichen planus,,,,,key: the key is f. lichen planus. [“lacy white pattern” is used as a diagnostic description of lichenplanus].,,
1448. the artery that runs in the ant inter-ventricular groove. what is the single most appropriate option?,a. acute marginal branch,b. left ant descending artery,c. coronary sinus,d. circumflex artery,e. right coronary artery,,,,,,key: the key is b. left ant descending artery.,,
1449. which virus is transmitted by the fecal-oral route?,a. hep c,b. coxsackie virus,c. dengue,d. none of the above,,,,,,,key: the key is b. coxsackie virus.,,
1450. a 40yo woman presented with generalized itching and tiredness for few months. she gave a hx of heavy menstrual periods. exam: pallor. what is the single most likely causative factor?,a. ida,b. lichen planus,c. dermatitis herpitiformis,d. eczema,e. uremia,,,,,,"key: the key is a. ida. [ida is one of the cause of pruritus. heavy periods, pallor and tiredness further supports the diagnosis].",,
1451. a 7yo child presents with lesions on the trunk. exam: some lesions are weeping and others are crusted with a red base. what is the causative organism?,a. herpes simplex,b. varicella zoster,c. rubella virus,d. herpes zoster,,,,,,,key: the key is b. varicella zoster.,,
"1452. an 87yo woman with a hx of htn has acute breathlessness. she has a rr=32bpm, widespread lung crackles, pulse=120bpm, bp=160/90mmhg and elevated venous pressure. her peripheral o2 sat=85%. what is the single most appropriate initial management?",a. iv antibiotics,b. iv furosemide,c. nitrate infusion,d. neb. salbutamol,e. 100% oxygen,,,,,,key: the key is e. 100% oxygen. [most appropriate initial management is e. 100% oxygen.oxygen saturation is low. so we have to give oxygen initially].,,
"1453. a 25yo man presented with painless cervical lymphadenopathy with lethargy, night sweats and itching. what is the single most likely causative factor?",a. lymphoma,b. polycythemia,c. ida,d. uremia,e. drug induced,,,,,,"key: the key is a. lymphoma. [cervical lymphadenopathy, lethargy, night sweats and itching are well known features of lymphoma].",,
"1454. a 25yo male presents with fever and pain in the right lower thigh of 1m duration. exam: lower third of his thigh is red, hot and tender. the xr showed new bone formation. what is the most probable dx?",a. osteosarcomoa,b. ewing’s sarcoma,c. tuberculus arthritis,d. exotosis,e. fibrosarcoma,,,,,,key: the key is b. ewing’s sarcoma.,,
"1455. a 76yo man presents with sore throat, local irritation by hot food, dysphagia and a sensation of a lump in his throat. he has a 20y hx of smoking. what is the single most likely dx?",a. nasopharyngeal ca,b. pharyngeal ca,c. sinus squamous cell ca,d. squamous cell laryngeal ca,e. hypopharyngeal ca,,,,,,key: the key is b. pharyngeal ca.,,
1456. a 42yo female who is obese comes with severe upper abdominal pain and right shoulder tip pain with a temp=37.8c. she has 5 children. what is the most probable dx?,a. ercp,b. lft,c. serum amylase,d. mrcp,e. us abdomen,,,,,,"key: the key is us abdomen. [5 “f”. fat, female, fair, forty, fertile = cholecystitis].",,
1457. a 37yo laborer comes with hx of redness of left eye with foreign body sensation in the same eye. what is the single most appropriate option?,a. ciliary body,b. sclera,c. conjunctivitis,d. cornea,e. iris,,,,,,key: the key is d. cornea. [redness with foreign body sensation of eye in a labourer are most likely due to foreign body in cornea].,,
1458. an 11yo boy came to the hospital with pain after falling off his bicycle. xr= fx at distal radius with forward angulations. what is the single most probable dx?,a. dinner fork deformity,b. cubitus valgus,c. gun stock deformity,d. garden spade deformity,e. genu valgus,,,,,,key: the key is d. garden spade deformity.,,
1459. a middle aged man with a lump in front of his neck which moves up while he’s swallowing. us shows a mass replacing the left lobe of thyroid. and spread to the sternocleidomastoid and adjacent muscles. what is the most probable dx?,a. thyroid ca,b. pharyngeal pouch,c. bronchus ca,d. thyroid cyst,e. larynx ca,,,,,,key: the key is a. thyroid ca.,,
1460. a 28yo male complains of severe pain while trying to grasp any object. it started since he participated in skiing and had a fall and caught his thumb in the matting. exam: rupture of the ulnar collateral ligament of mcp joint of the thumb. what is the single most probable deformity?,a. dinner fork deformity,b. game keeper thumb,c. mallet finger,d. gun stock deformity,e. garden spade deformity,,,,,,key: the key is b. game keeper thumb. [gamekeeper's thumb is an insufficiency of the ulnar collateral ligament (ucl) of the metacarpophalangeal (mcp) joint of the thumb].,,
1461. a 25yo male had an injury to the knee while playing football. xr=condylar fx of tibia. what is the single most probable deformity?,a. dinner fork deformity,b. gibbus,c. cubitus valgus,d. garden spade deformity,e. genu valgus,,,,,,key: the key is e. genu valgus.,,
"1462. a 50yo man presents with itching after hot shower with dizziness, chest pain after exercise. exam: splenomegaly. what is the single most likely causative factor?",a. all,b. lymphoma,c. polycythemia,d. scabies,e. eczema,,,,,,key: the key is c. polycythemia. [itching after hot shower; dizziness and angina due to hyperviscosity and splenomegaly are well known features of polycythemia].,,
1463. a man presented with carcinoma of the bladder and has been working in factories. he wants to know what dye has caused it. what is the single most likely cause?,a. aniline,b. asbestos,c. latex,d. silica,,,,,,,key: the key is a. aniline. [aniline dye is a well known cause of bladder cancer].,,
1464. a 62yo man presents with left sided hearing loss and tinnitus. he also complains of vomiting and headache. exam: papilledema and snhl in the left ear. what is the single most likely dx?,a. meningioma,b. nasopharyngeal ca,c. acoustic neuroma,d. pharyngeal ca,e. meniere’s disease,,,,,,"key: the key is c. acoustic neuroma. [snhl, tinnitus, papilledema (raised intracranial pressure) are suggestive of acoustic neuroma].",,
"1465. a hiv +ve 55yo man presents with painless lymphadenopathy, fever, night sweats and weight loss. what is the most probable dx?",a. hodgkin’s lymphoma,b. nhl,c. all,d. aml,e. cml,,,,,,key: the key is b. nhl. [nhl is more likely diagnosis in aids or immunodeficient state].,,
1466. a 22yo man says that he can hear the voice of his deceased uncle telling him that he is being spied on. the pt is distressed by this becoming low in mood and anxious and has not left the house for 2wks. he is starting to drink increasing quantities of alcohol. he is noticed to have thought-block and passivity phenomena. what is the single most suitable med to treat his symptom?,a. diazepam,b. disulfiram,c. fluoxetine,d. lithium,e. olanzapine,,,,,,"key: the key is e. olanzapine. [auditory hallucination, social withdrawal, thought block are features of schizophrenia. so olanzapine is the drug to be prescribed from the given option].",,
1467.  a middle aged asian presents with episodes of fever with rigors and chills for last 1yr. blood film: ring form of plasmodium with schuffners dots in rbcs. what is the drug to eradicate this infection?,a. doxycycline,b. mefloquine,c. proguanil,d. quinine,e. artesunate,,,,,,key: the key is b. mefloquine which is a wrong key! none of the given options is correct!! [shuffners dot indicate either vivax or ovale infection and the hepatic cycle only can be eradicated by primaquine.  probably it is a bad recall].,,
"1468. a 50yo man presents with flight of ideas which are rambling and disinhibited. he is distractable, confused and overactive. what is the most likely dx?",a. dementia,b. mania,c. schizophrenia,d. psychosis,e. acute confusional state,,,,,,"key: the key is b. mania. [flight of ideas, dysinhibition, distractibility, confusion and overactivity are features of mania].",,
"1469. a pt presents with a lid lag, bulging eyes, opthalmoplegia and thyroid bruit. what inv will you do?",a. tft,b. eye sight,c. tensilon test,d. us,e. fnac,,,,,,key: the key is tft. [tft should be done. why not fnac? thyrotoxicosis is benign and not malignant].,,
1470. a 30yo lady complaining of right ear deafness with decreased corneal reflex and past pointing. acoustic analysis shows snhl. what is the next most appropriate inv to do?,a. ct brain,b. ct acoustic canal,c. mri brain,d. mri acoustic canal,e. pet brain,,,,,,key: the key is mri brain. this is wrong key! correct key is d. mri acoustic canal.,,
"1471. a 29yo woman who returned from egypt 2wks ago now presents with difficulty in breathing, chest pain, cough and purulent sputum with an episode of blood staining. she is on cocps. what is the most likely dx?",a. pulmonary embolism,b. pneumonia,c. lung abscess,d. pneumothorax,e. pulmonary edema,,,,,,key: the key is b. pneumonia. [purulent sputum is the clincher to differentiate pneumonia from pulmonary embolism here].,,
"1472. a 60yo pt recovering from a surgery for toxic goiter is found to be hypotensive, cyanosed in the recovery room. exam: neck is tense. there is oozing of blood from the drain. what is the most probable dx?",a. thyroid storm,b. reactionary hemorrhage,c. secondary hemorrhage,d. primary hemorrhage,e. tracheomalacia,,,,,,key: no key is given. correct key is b. reactionary hemorrhage. [hemorrhage within 1st 24 hours which usually occurs due to dislodgement of clot or slippage of a ligature].,,
"1473. a 40yo woman has had varicose vein surgery, planned as a day pt. after the op, she is distressed by repeated retching and vomiting. her pain is currently well controlled. what is the best management strategy?",a. tramadol,b. co-codamol,c. im morphine,d. iv ondansetron,e. po ondansetron,,,,,,key: the key is d. iv ondensatron. [as there is repeated retching and vomiting pt. cannot keep oral medication down. so iv ondansatron].,,
"1474. a pt with renal failure has serum k+=7.5, raised creatinine and broad complex tachycardia. what is the most appropriate management?",a. calcium gluconate,b. sodium bicarbonate,c. dialysis,d. furosemide,e. sotalol,,,,,,key: the key is a. calcium gluconate. [calcium gluconate don’t shift k+ to cell or reduce potassium level but it prevents arrythmogenic action of raised k+ till definitive measure is taken].,,
"1475. an 18yo lady in her 30th wk of pregnancy is brought to the hospital in an altered sensorium. she is taking slow, shallow breaths and her breath has a fruity smell. an abg: ph=7.20, urine ketones: +ve. what is the most probable dx?",a. honk,b. dka,c. hellp syndrome,d. pih,e. gdm,,,,,,key: the key is b. dka. [shallow breath and fruity smell with acidosis in abg and positive ketone body in urine suggests the diagnosis of dka].,,
1476. a 26yo man presented with abdomen distension and pain. his stools have been mucoid and sometimes blood stained. what is the most appropriate inv?,a. stool c&s,b. gastroscopy,c. igg tissue transglutaminase,d. barium meal,e. jejunal biopsy,,,,,,key: the key is d. barium meal. this is wrong key. correct key is a. stool c&s. [probable diagnosis is ulcerative colitis and abdominal distension may indicate toxic megacolon where barium enema should be avoided. stool assessment is one of the lab procedures done in ulcerative colitis which may be the option from given ones. stool culture is not confirmatory but suggestive].,,
"1477. an 83yo elderly woman presented in the ed with cough, fever and sneezing. tx was given but she became confused and again presented with above said symptoms. what is the cause of her condition?",a. aspiration due to confusion,b. alveolar damage due to drugs,c. drug toxicity,d. pneumothorax,,,,,,,key: the key is a. aspiration due to confusion.,,
1478. a 37yo man presents with some raised lesions on the shin. he came with cough and also complains of arthralgia. exam: bilateral hilar lymphadenopathy and erythema nodosum is present. what is the single most likely cause?,a. cd,b. uc,c. sarcoidosis,d. streptococcal infection,e. tb,,,,,,"key: the key is b. uc. it is a wrong key! correct key is c. sarcoidosis. [cough, arthralgia, bilateral hilar lymphadenopathy and erythema nodosum are suggestive of sarcoidosis].",,
1479. a young lady with cervical ectropion bleeds on touch. what is the most appropriate next inv?,a. transvaginal us,b. cervical smear,c. punch biopsy,d. serum estradiol,e. colposcopy,,,,,,key: b. cervical smear. wrong key! correct key is e. colposcopy.[screening test cervical smear is only done in scheduled time and not in on demand basis. so if it is scheduled now then it can be the option otherwise colposcopy should be the key!! this is definitely an incomplete question].,,
1480. a 28yo man with recent onset of dyspepsia after eating spicy food and alcohol consumption. h. pylori fecal antigen was negative. he returns after 1m with similar symptoms despite being given omeprazole 40mg. what is the single best initial inv?,a. hydrogen breath test,b. gastroscopy,c. barium meal,d. none,,,,,,,key: the key is b. gastroscopy.,,
