question,a,b,c,d,e,f,g,h,i,j,key,chat,key_letter,gpt_letter,Unnamed: 15,0
1235. a 45yo female comes to the ed while having a generalized tonic clonic seizure and she has having difficulty breathing and is cyanosed. what is the tx option for her?,a. secure airways,b. iv diazepam,c. iv phenytoin,d. oxygen mask,,,,,,,"key: a. secure airways. [breathing difficulty with cyanosis may indicate saliva, blood, foreign body (as denture), fall back of tongue etc. for which 1st action is to secure airway].","In this scenario, the correct answer is a) Secure airways. The patient is presenting with breathing difficulty and cyanosis, which may indicate an obstruction such as saliva, blood, or a foreign body. The priority in this situation is to ensure that the patient's airway is clear so that they can breathe properly. Administering IV diazepam or phenytoin or an oxygen mask may be necessary later depending on the nature of the seizure, but first and foremost, the patient's immediate issue of breathing difficulty must be addressed. Therefore, options b, c, and d are incorrect as they do not address the patient's immediate need of a secure airway.",a,a,TRUE,
1236. a 30yo man is becoming concerned about the safety of his family. he has been checking the locks of the door every hour during the night. he becomes very anxious if his wife tries to stop him. what is the most likely dx?,a. paranoid delusion,b. ptsd,c. social phobia,d. ocd,e. gad,,,,,,"key: the key is d. ocd. [obsessive compulsive disorder (ocd) is a mental health condition where a person has obsessive thoughts and compulsive activity. an obsession is an unwanted and unpleasant thought, image or urge that repeatedly enters a person's mind, causing feelings of anxiety, disgust or unease. a compulsion is a repetitive behaviour or mental act that someone feels they need to carry out to try to temporarily relieve the unpleasant feelings brought on by the obsessive thought].","The correct answer is d. OCD. OCD is a mental health condition characterized by obsessive thoughts and compulsive behaviors. In this case, the man has a specific obsession about the safety of his family and a compulsion to check the locks on the doors every hour during the night. The fact that he becomes very anxious if his wife tries to stop him indicates that he has difficulty controlling these behaviors and may feel an overwhelming need to carry them out. Paranoid delusion, PTSD, social phobia, and GAD are unlikely diagnoses as they do not specifically involve obsessive thoughts and compulsive behaviors related to checking the locks on doors.",d,d,TRUE,
1237. a 6wk baby has been dx as hiv+ve. which immunization plan will you opt for him?,a. don’t give any vaccine,b. give all vaccines except live attenuated vaccines,c. give only bcg vaccine,d. give all vaccines except bcg vaccine,,,,,,,key: the key is d. give all vaccines except bcg vaccine. [there are two terms hiv +ve (not immune deficient yet) and aids (immune deficient state). in hiv +ve case live attenuated vaccines can be given except bcg and if aids all live attenuated vaccines are avoided].,"For a 6-week-old baby diagnosed with HIV+, option d is the correct immunization plan. This entails giving all vaccines except for the BCG vaccine. It is important to note that if the baby were in the advanced state of AIDS, all live attenuated vaccines would be avoided. This is because the baby's immune system would be greatly compromised, making it difficult for them to fight off infections from these vaccines. Option a (not giving any vaccine) and option c (giving only BCG vaccine) are both incorrect because not giving any vaccine will leave the baby susceptible to infectious diseases, and giving only the BCG vaccine would leave them unprotected against other deadly diseases. Option b (giving all vaccines except live attenuated vaccines) is incorrect because HIV+ babies can receive live attenuated vaccines except for BCG.",d,d,TRUE,
1238. a 36yo man has been dx with di. what electrolyte picture is expected to be seen?,"a. high serum na, low serum osmolarity, high urine osmolarity","b. low serum na, low serum osmolarity, high urine osmolarity","c. low serum na, high serum osmolarity, high urine osmolarity","d. high serum na, high serum osmolarity, low urine osmolarity","e. normal na, normal serum osmolarity, normal urine osmolarity",,,,,,"key: the key is d. high serum na, high serum osmolarity, low urine osmolarity.","When a 36-year-old man is diagnosed with diabetes insipidus (DI), the electrolyte picture that is expected to be seen is high serum sodium, high serum osmolarity, and low urine osmolarity, which is choice d. DI is a rare disorder that affects the body's ability to regulate water balance, resulting in excessive thirst and diluted urine. The high serum sodium is a result of the body's inability to retain water, which causes dehydration and higher levels of sodium in the blood. The high serum osmolarity is due to the lack of water in the body, which increases the concentration of particles in the blood. The low urine osmolarity is a result of the body's inability to concentrate urine, due to reduced levels of antidiuretic hormone (ADH) or its action in the kidneys. Choices a, b, c, and e are incorrect as they do not accurately reflect the electrolyte imbalance that occurs in DI.",d,d,TRUE,
1239. the artery that supplies the ant right ventricular wall. what is the single most appropriate option?,a. acute marginal branch,b. left ant descending artery,c. coronary sinus,d. circumflex artery,e. right coronary artery,,,,,,key: the key is a. acute marginal branch.,"The correct answer to this question is a. acute marginal branch because it is the artery that supplies the ant right ventricular wall. The acute marginal branch is a branch of the right coronary artery which supplies the ant and lateral surfaces of the right ventricle. The other choices are incorrect because they do not supply the right ventricular wall. The left ant descending artery supplies the left ventricle, the coronary sinus drains the cardiac veins, the circumflex artery supplies the left atrium and left ventricle, and the right coronary artery supplies the right atrium and ventricle, but not directly the ant right ventricular wall.",a,a,TRUE,
"1240. a 55yo male presents to the ed after an rta with breathlessness, engorged neck veins and a dull percussion note on the right side of his chest. exam: pulse=140bpm, bp=80/50mmhg. what is the most likely dx?",a. hemothorax,b. hemopneumothorax,c. tension pneumothorax,d. simple pneumothorax,,,,,,,key: the key is b. hemopneumothorax.,"Based on the presented symptoms, the most likely diagnosis would be hemopneumothorax, indicated by the presence of both blood and air in the pleural cavity. The dull percussion note on the right side of the chest indicates the presence of fluid (blood) in the pleural space, which likely originated from the rta. The engorged neck veins suggest increased venous pressure due to impaired expiration caused by the accumulation of air and/or blood in the pleural cavity. The elevated pulse rate and decreased blood pressure indicate that the patient is experiencing hemodynamic instability, which is likely related to the severity of the hemopneumothorax. Therefore, options a, c, and d can be excluded because they do not account for the presence of both blood and air in the pleural cavity. Option b is the only accurate diagnosis, as it accounts for both blood and air accumulation in the pleural cavity and can explain the presented symptoms and clinical features.",b,b,TRUE,
1241. a 32yo woman presents with complaints of having low back pain. she is taking analgesics for it. all inv are normal. what will you advice her?,a. bed rest,b. physiotherapy,c. advice to be more active,d. admit,,,,,,,key: c. advice to be more active.,"The correct answer is c. advice to be more active. Bed rest is no longer recommended for low back pain as it can actually worsen the condition. Physiotherapy may be helpful but the first line of treatment is to encourage the patient to stay active and continue with their daily activities as much as possible. This can help alleviate the pain and prevent further complications. Admitting the patient is not necessary as all tests are normal and the condition can be managed in an outpatient setting. Therefore, advice to be more active is the most appropriate and evidence-based recommendation for this patient.",c,c,TRUE,
1242. a 32yo woman suffers an episode of severe occipital headache with vomiting and loc. she is brought to the hosp where she is found to be conscious and completely alert. exam: normal pulse and bp with no abnormal neurological sign. what is the next step in her management?,a. admission for observation,b. ct brain,c. mri head,d. reassurance and discharge home,e. xr skull,,,,,,key: the key is b. ct brain. [to exclude any possible intracranial bleeding].,"The correct answer is b. CT brain. This is because the patient's symptoms indicate the possibility of intracranial bleeding, and a CT scan can quickly and accurately diagnose or exclude this condition. Admission for observation (choice a) may be necessary if the CT scan is inconclusive, but it is not the first step. MRI head (choice c) is a more detailed imaging study, but it takes longer and is not necessary in this emergency situation. Reassurance and discharge (choice d) is not an appropriate option given the severity of the patient's symptoms. X-ray of the skull (choice e) is not useful in evaluating neurological conditions and will not provide the necessary information to manage the patient.",b,b,TRUE,
1243. a 30yo woman is taking tx for asthma. she has a hr=130bpm and peak expiratory flow rate=400. what is the most appropriate management?,a. atenolol,b. digoxin,c. review drugs,,,,,,,,key: the key is c. review drugs. [oral beta agonist frequently causes tachycardia and palpitations].,"The correct answer for this question is C: ""review drugs"". This woman is currently experiencing tachycardia, which is a common side effect of oral beta agonists, which are typically used for asthma treatment. Atenolol (option A) is a beta blocker, which would further decrease her heart rate and potentially worsen her asthma symptoms. Digoxin (option B) is a medication used for heart failure and atrial fibrillation; it has no role in the treatment of asthma and could also potentially worsen her asthma symptoms. Therefore, the most appropriate management for this patient would be to review her current medications and potentially change her asthma treatment to avoid the associated side effects.",c,c,TRUE,
1244. a pt presents with a mask face. he also has gait prbs. which class of drug is causing this?,a. anti-depressant,b. anti-psychotic,c. anti-htn,,,,,,,,key: the key is b. anty-psychotic. [anti-psychotics by reducing dopamine can precipitate or induce parkinsonism].,"The key to this question is option b, anti-psychotic. This class of drugs works by reducing dopamine levels in the brain, which can lead to the development of parkinsonism - a group of symptoms that include mask face (reduced facial expression) and gait problems. Therefore, it is likely that the anti-psychotic medication is causing these symptoms in the patient. Option a, anti-depressants, and option c, anti-hypertensives, are not typically associated with parkinsonism. Thus, the correct answer is b.",b,b,TRUE,
1245. a 16yo boy came home from boarding school with a cough. his cxr showed bilateral consolidations. what is the most likely organism which would have caused his symptoms?,a. legionella pneumophilia,b. mycoplasma pneumonia,c. mycobacterium tb,d. pneumocystis jiroveci,e. pseudomonas aeruginosa,,,,,,"key: the key is b. mycoplasma pneumonia. [mycoplasma is common in military barrack, prison or boarding dwellers].","The correct answer is b. mycoplasma pneumonia. Mycoplasma is a common organism that causes respiratory infections, particularly in crowded populations such as military barracks, prisons, and boarding schools. Legionella pneumophilia is a type of pneumonia generally acquired from environmental exposure. Mycobacterium tuberculosis is the causative agent of tuberculosis and typically presents with granulomas on CXR. Pneumocystis jiroveci is associated with immunocompromised individuals, such as those with AIDS. Pseudomonas aeruginosa is a common cause of hospital-acquired pneumonia. Therefore, based on the patient's age, the clinical presentation and CXR results, mycoplasma pneumonia is the most likely organism responsible for this patient's illness.",b,b,TRUE,
"1246. after an mi, a man presents with pansystolic murmur which is radiating to the axilla. what is the dx?",a. tricuspid regurgitation,b. mitral regurgitation,c. aortic stenosis,d. mitral stenosis,,,,,,,key: the key is b. mitral regurgitation. [mi can lead to papillary muscle rupture causing mitral regurgitation].,"The correct answer to this question is b. mitral regurgitation. After an MI, the papillary muscles can be damaged or rupture, which can cause mitral regurgitation. This leads to a pansystolic murmur that can be heard best at the apex of the heart and radiates to the axilla. Tricuspid regurgitation is associated with a holosystolic murmur best heard at the lower left sternal border and is not typically associated with an MI. Aortic stenosis and mitral stenosis are both associated with systolic murmurs, but they are not pansystolic, and they are not commonly caused by an MI. Therefore, b. mitral regurgitation is the correct choice for this scenario.",b,b,TRUE,
"1247. a 34yo labourer developed severe pain in his lower back after lifting a sack of sand. he also complains of shooting pain down his leg. the gp has prescribed him complete bed rest, with painkillers and also scheduled an mri for him. what is the most likely dx?",a. peripheral vascular disease,b. intervertebral disc prolapse,c. hairline fx of the spine,d. sprain of the back muscles,e. muscle injury,,,,,,key: the key is b. intervertebral disc prolapse. [intervertebral disc prolapsed can cause severe back pain following heavy lifting and radiculopathy (pressure on spinal nerve root) can cause this shooting pain which can be demonstrated by mri spine].,"The most likely diagnosis for the 34-year-old labourer who developed severe lower back pain after lifting a sack of sand and complained of shooting pain down his leg is intervertebral disc prolapse, which is indicated by the key ""b"" in the question. This condition can occur due to heavy lifting and can lead to radiculopathy, which is pressure on the spinal nerve root causing shooting pain that can be confirmed through MRI spine. Peripheral vascular disease (a) is unlikely in this case as it involves arterial or venous insufficiency in the limbs, and hairline fracture of the spine (c) would likely be accompanied by more severe symptoms and trauma. Sprain of the back muscles (d) and muscle injury (e) would also not account for the shooting pain down the leg and complete bed rest would not be necessary.",b,b,TRUE,
1248. a young man returns to his hostel and gets headache and lethargy. now presents with fever. there are crepitations on the auscultation of lung. what is the most likely organism which would have caused his symptoms?,a. legionella pneumonia,b. mycoplasma,c. staphylococcus,d. streptococcus,,,,,,,"key: the key is a. legionella pneumonia. [legionella is common in hostel, hotel, hospital, nursing home where it spread through their water system, aircondition etc.].","Based on the presented symptoms, the most likely organism causing the illness is legionella pneumonia, which is commonly found in settings such as hostels, hotels, hospitals, and nursing homes, spreading via water systems, ventilation, and air conditioning. Mycoplasma, Staphylococcus, and Streptococcus do not typically present with crepitations on lung auscultation, which is a key symptom of legionella pneumonia in this case. Therefore, option A is the correct answer while the other options are wrong.",a,a,TRUE,
1249. a pt is about to undergo surgery. her hgb=8.9g/dl and mcv=70. what is the best option for her?,a. inv and postpone the surgery,b. transfuse and proceed with surgery,c. transfuse and defer surgery,d. continue with surgery,,,,,,,key: key is a. investigation and postpone the surgery. [for elective operation only proceed if hb% > 10 g/dl. if hb% < 10 g/dl then defer the operation and  investigate first. if hb% < 8 g/dl also must be transfused. samson note].,"The best option for a patient with a hgb of 8.9g/dl and mcv of 70 who is about to undergo surgery is to postpone the surgery and investigate further. According to the key, elective operation should only proceed if the hb% is above 10 g/dl. If the hb% is below 10 g/dl, the operation should be deferred and investigations should be conducted before considering surgery. Furthermore, if the hb% is below 8 g/dl, the patient must be transfused. Therefore, options b, c, and d are incorrect as they involve transfusing or proceeding with surgery, which is not recommended for a patient with a low hb% and requires further investigation.",a,a,TRUE,
1250. a 24yo male presents with discomfort in the groin area and scrotal swelling. exam: scrotal skin is normal. what would be the next best step?,a. urgent us,b. urgent surgery,c. opd referral,d. antibiotics,,,,,,,key: the key is c. opd referral. [a case of inguinal hernia or hydrocele. in both torsion or epididymo-orchitis scrotal skin will be inflammed (erythematous and oedematous). should be referred to surgery opd].,"The correct answer is C, OPD referral. This is because the patient's symptoms of discomfort in the groin area and scrotal swelling do not indicate an urgent issue that requires immediate surgery (option B). Similarly, an urgent ultrasound (option A) is not necessary as the scrotal skin is normal and does not suggest any serious underlying condition. Antibiotics (option D) may be useful in cases of infection, such as epididymo-orchitis which can cause inflamed scrotal skin, but this is not the only possible diagnosis. Therefore, the best option is to refer the patient to the surgery OPD for further evaluation and diagnosis of the underlying cause, which may or may not require surgery.",c,c,TRUE,
1251. a 22yo girl unhappy about her weight with bmi=22. she likes to have her dinner in an expensive restaurant. she does excessive shopping. k+=3.3. what is the dx?,a. anorexia nervosa,b. bipolar,c. ocd,d. bulimia,,,,,,,"key: the key is d. bulimia. [bmi 22, even though unhappy, hypokalemia, like to have dinner in an expensive restaurant (probable binge eating) suggest the diagnosis of bulimia].","The correct answer is d, bulimia. This is suggested by the fact that the patient is unhappy about her weight despite having a BMI within the normal range, which may indicate body dysmorphia, a common feature of bulimia. Additionally, her liking to have dinner in an expensive restaurant could be indicative of binge-eating behavior, which is a hallmark symptom of bulimia. The fact that her potassium levels are low (K+=3.3) also suggests that she may be purging, which is another characteristic behavior of individuals with bulimia. Anorexia nervosa is unlikely as the patient's BMI is not low enough, and bipolar disorder and OCD do not fit the symptoms presented.",d,d,TRUE,
"1252. a 59yo pt has been dx with htn. his bp has been >160/90mmhg on 3 separate occasions. his biochemical profile is as follows: na+=145mmol/l, k+=6.2mmol/l, creatinine=112umol/l, urea=5.7mmol/l. what is the most appropriate anti-htn drug for him?",a. amlodipine,b. bendroflumethiazide,c. ramipril,d. lorsartan,e. propranolol,,,,,,key: the key is b. bendroflumethiazide. [thiazide reduces na+ and k+ level. so in this picture of upper normal na+ with hyperkalemia thiazide seems to be appropriate].,"Based on the patient's biochemical profile indicating he has hyperkalemia and upper normal sodium levels, the most appropriate anti-hypertensive drug for him would be choice B, Bendroflumethiazide. Bendroflumethiazide is a thiazide diuretic which helps to reduce sodium and potassium levels, making it an appropriate choice for this patient. Amlodipine is a calcium channel blocker, which may be less effective in patients with kidney impairment like this patient. Ramipril is an ACE inhibitor, which can cause increased potassium levels and worsen hyperkalemia. Lorsartan is an angiotensin receptor blocker, which has a similar risk for causing hyperkalemia. Propranolol is a beta-blocker, which has no effect on sodium nor potassium levels and may be less effective in older patients. Overall, Bendroflumethiazide is the most appropriate choice for this patient given his laboratory results.",b,b,TRUE,
1253. a 22yo girl had a fight with her boyfriend and then took 22 tabs of paracetamol. she was commenced on n-acetyl cysteine and she was medically fit to go home the following day. which of the following does she require?,a. opd referral to relationship counselor,b. opd referral to psychiatrist,c. inpatient referral to psychiatrist,d. inpatient referral to psychologist,,,,,,,key: the key is c. inpatient referral to psychiatrist. [suicidal ideation is abnormal and if discharged there is chance of repeated suicidal attempts. so inpatient referral to psychiatrist is needed for this patient].,"In this scenario, the most appropriate answer is c, inpatient referral to psychiatrist. The patient's action of taking a large amount of paracetamol following a fight with her boyfriend indicates suicidal ideation, which is abnormal and requires immediate attention. Discharging the patient without further monitoring and treatment would increase the risk of repeated suicidal attempts. Therefore, inpatient referral to a psychiatrist is necessary to provide the patient with appropriate mental health care. Options a and b, which suggest OPD referral to a relationship counselor or psychiatrist, respectively, may not be enough to address the underlying mental health concerns. Option d, inpatient referral to psychologist, is not the most appropriate option as the patient requires a mental health professional who can prescribe medication if necessary, which only a psychiatrist can do.",c,c,TRUE,
1254. a 74yo man presents with sudden onset of with right sided weakness and slurred speech. he also has loss of sensation over the right side of the body and visual field defects. ct shows ischemic stroke. what is the most appropriate management?,a. alteplase,b. streptokinase,c. nimodipine,d. aspirin,e. labetolol,,,,,,key: the key is a. alteplase. [patient has acute onset of symptoms and time of onset is also known. so considering window period of 4.5 hours from onset of symptoms can be given alteplase].,"In this scenario, the most appropriate management would be to administer alteplase, which is a thrombolytic agent. This is because the patient has presented with acute onset of symptoms and the time of onset is also known. Considering the window period of 4.5 hours from onset of symptoms, alteplase can be given to dissolve the clot causing the ischemic stroke. Choosing options such as streptokinase or nimodipine would not be appropriate as they are not indicated for ischemic stroke. Aspirin may be given to the patient, but it is not the primary intervention in this case. Labetolol is not indicated in the management of stroke as it is a beta blocker used to treat hypertension. Thus, alteplase is the most appropriate choice for the management of this patient with an acute ischemic stroke.",a,a,TRUE,
1255. the artery that runs along the left av groove. what is the single most appropriate option?,a. left internal mammary artery,b. left anterior descending artery,c. circumflex artery,d. left main stem (lms) post descending artery,e. diagonal branch,,,,,,key: the key is c. circumflex artery.,"The correct answer to the question is c. circumflex artery. The circumflex artery is known for running along the left AV groove, making it the most appropriate option for this question. The other options listed are not located in the same area as the left AV groove, making them incorrect choices. The left internal mammary artery runs along the front of the heart, the left anterior descending artery runs along the front of the left ventricle, the left main stem post descending artery runs along the back of the heart, and the diagonal branch branches off of the left anterior descending artery and runs diagonally down towards the apex of the heart. Therefore, the circumflex artery is the only correct option based on its location.",c,c,TRUE,
1256. a 26yo man presents with painless hematuria. he has no other complaints and on examination no other abnormality is found. what is the most appropriate initial inv to get to a dx?,a. cystoscopy,b. midstream urine for culture,c. abdominal us,d. mri spine,e. coag screening,,,,,,"key: the key is c. abdominal ultrasound. [abdominal us to exclude polycystic disease, malignancy, tumour, urolithiasis etc].","The most appropriate initial investigation in a 26-year-old man presenting with painless hematuria is an abdominal ultrasound (US). An abdominal US is used to exclude conditions such as polycystic disease, malignancy, tumor, and urolithiasis, which are all potential causes of hematuria. Cystoscopy and midstream urine culture are not the most appropriate initial investigations in this case, as they only focus on the lower urinary tract and cannot rule out other potential causes of hematuria. MRI spine and coagulation screening are also not indicated in this scenario, as they are not relevant to the diagnosis of hematuria. Therefore, an abdominal US is the most appropriate initial investigation to help diagnose the underlying cause of painless hematuria in this patient.",c,c,TRUE,
"1257. a pt, 50yo smoker and heavy drinker, presents with complaints of racing heart. a 24h ekg comes out normal. what is your next step in management?",a. echo,b. reassure,c. stress test,,,,,,,,key: the key is b. reassure. [racing heart or palpitation is a common phenomenon in alcoholics which is not serious or harmful. so reassure the patient].,"The correct answer is b. reassure. Racing heart or palpitation is a common phenomenon in alcoholics and heavy drinkers which is not usually a reason for concern. In this case, a 24 hour EKG has come out as normal, which suggests that the patient's heart is functioning well. Therefore, the next step in management should be to reassure the patient. An echo or stress test would not be necessary at this point as they are unlikely to provide any valuable information that the EKG has not already provided. However, the patient should be advised to quit smoking and heavy drinking as these habits can have adverse effects on their heart health in the long term.",b,b,TRUE,
1258. a 36yo woman came with uterine bleeding. vaginal us reveals uterine thickness=12mm. what is the most probable dx?,a. cervical ca,b. endometrial ca,c. ovarian ca,d. breast ca,e. vaginal ca,,,,,,key: the key is b. endometrial ca. [actually it is endometrial thickening and in general 12 mm means hyperplasia which may suggest endometrial ca in this woman].,"The most probable diagnosis for a 36-year-old woman with uterine bleeding and a uterine thickness of 12mm on vaginal ultrasound is endometrial thickening, which in general may suggest hyperplasia and could potentially lead to endometrial cancer. This is represented by answer choice b. Cervical, ovarian, breast, and vaginal cancers are less likely given the clinical presentation and imaging findings. It is important to note that further diagnostic testing may be necessary to confirm a diagnosis of endometrial cancer, such as endometrial biopsy or dilation and curettage.",b,b,TRUE,
1259. a 30yo woman has pid which was treated with metronidazole and cephalosporin. it is getting worse. what is the next best inv?,a. endocervical swab,b. us,c. laparotomy,d. high vaginal swab,,,,,,,key: the key is b. us. [probable tubo-ovarian abscess].,"The next best investigation for a 30-year-old woman with worsening PID despite treatment with metronidazole and cephalosporin is a pelvic ultrasound (answer choice b: US). This investigation can help detect complications such as a probable tubo-ovarian abscess. Endocervical swab (answer choice a) and high vaginal swab (answer choice d) are not necessary at this stage and do not provide information about the presence of an abscess. Laparotomy (answer choice c) is an invasive procedure and is not appropriate as the first-line investigation for suspected PID. Therefore, a pelvic ultrasound is the most appropriate and least invasive investigation in this situation.",b,b,TRUE,
1260. a pregnant woman had hit her chest 3wks ago. now she is 24wks pregnant and presents with left upper quadrant mass with dimpling. what is the most probable dx?,a. breast ca,b. carcinoma,c. fibroadenoma,d. fibroadenosis,e. fatty necrosis of breast,,,,,,key: the key is e. fatty necrosis of the breast.,"The most probable diagnosis for a pregnant woman who hit her chest 3 weeks ago and presents with left upper quadrant mass with dimpling at 24 weeks pregnant is ""e. fatty necrosis of breast."" This is because fatty necrosis of the breast occurs when the fatty tissue in the breast is damaged due to trauma or injury such as from a hit to the chest. This can lead to the formation of a mass, which may cause dimpling. Breast cancer (a), carcinoma (b), fibroadenoma (c), and fibroadenosis (d) are all less probable diagnoses in this case, as they typically do not occur as a result of trauma or injury to the breast. Therefore, the most probable diagnosis in this case is fatty necrosis of the breast.",e,e,TRUE,
1261. a pregnant pt with rh –ve who hasn’t been prv sensitized delivers her first baby without any prbs. what would be the latest time to administer anti-sensitization?,a. 6h pp,b. 24h pp,c. 48h pp,d. 72h pp,e. 5d pp,,,,,,key: the key is d. 72h pp.,"The correct answer is d, 72h pp. Rh sensitization can occur during pregnancy or childbirth if the mother is Rh-negative and the baby is Rh-positive. If left untreated, this can lead to complications in future pregnancies. Administration of anti-Rh (Rhogam) to the mother after delivery of an Rh-positive baby can prevent sensitization from occurring. The recommended time for administering the anti-Rh is within 72 hours after delivery, hence option d is correct. Options a, b, and c are too early, while option e is too late and may not prevent sensitization. It is important to administer anti-Rh at the correct time to prevent future complications.",d,d,TRUE,
"1262. a 30yo primigravida who is 30wks ga presents to the l&d with absent fetal movements. she also complains of severe headache, heartburn and seeing floaters before her eyes for the last few days. exam: bp=170/110mmhg, urine protein=++++, rock hard uterus, no visible signs of fetal movements. choose the single most likely dx?",a. abruption of placenta 2nd pre-eclampsia,b. antepartum hemorrhage,c. placenta previa,d. primary pph,e. iufd,f. abruption of placenta due to trauma,,,,,key: 2 keys a. abruption of placenta 2nd pre-eclampsia. e. iufd. both are correct!,"The correct answer is a. abruption of placenta 2nd pre-eclampsia. Based on the presentation of severe headache, heartburn, and seeing floaters before her eyes for the last few days, along with the findings of high blood pressure, significant protein in the urine, and a rock-hard uterus with absence of fetal movements, the most likely diagnosis is abruption of the placenta with pre-eclampsia. Pre-eclampsia is characterized by hypertension with significant proteinuria after 20 weeks of gestation. The abruption of the placenta represents a separation of the placenta from the uterine lining, which can cause fetal distress and even fetal demise. 

The other answer choices are not as likely given the presentation of this patient. Antepartum hemorrhage and placenta previa would present with vaginal bleeding, which is not mentioned in this scenario. Primary postpartum hemorrhage would not occur until after the delivery, and there is no mention of delivery in this patient. IUFd (intrauterine fetal demise) is a possibility given the absence of fetal movements, but it does not explain the other symptoms and findings seen. Finally, abruption of placenta due to trauma is not mentioned in the scenario.",a,a,TRUE,
"1263. a 38yo woman, 10d post partum, presents to her gp with a hx of passing blood clots per vagina since yesterday. exam: bp=90/40mmhg, pulse=110bpm, temp=38c, uterus tender on palpation and fundus is 2cm above umbilicus, blood clots +++. choose the single most likely dx?",a. abruption of placenta 2nd preeclampsia,b. concealed hemorrhage,c. primary pph,d. secondary pph,e. retained placenta,f. scabies,,,,,key: the key is d. secondary pph. [secondary pph occurs from 24 hours after delivery. usually occurs between 5 and 12 days].,"The correct answer is D, secondary PPH. Secondary PPH is defined as excessive bleeding from the vagina occurring between 24 hours and six weeks after delivery. This patient's symptoms match the definition of secondary PPH as she is presenting with heavy vaginal bleeding 10 days postpartum. The other choices are incorrect as abruption of placenta and concealed hemorrhage usually present with sudden onset abdominal pain and fetal distress, primary PPH is defined as excessive bleeding within the first 24 hours after delivery, and retained placenta typically presents with delayed or incomplete placental delivery. Scabies is not related to this patient's presentation.",d,d,TRUE,
1264. a 22yo lady who is in her last trimester of pregnancy comes with hx of exposure to a child dx with chicken pox 1d ago. she was investigated and was +ve for varicella antibody. what is the single most appropriate management?,a. give varicella ig,b. quarantine,c. give varicella vaccination,d. oral acyclovir,e. reassure,,,,,,"key: the key is e. reassure. [if you have antibodies in your blood, this means you have had chickenpox in the past, or have been immunised. no further action is then needed].","The correct answer is E, reassure. This is because the patient has tested positive for varicella antibody, indicating that she has already had chickenpox in the past or has been immunized against it. Therefore, no further action is needed. Option A, giving varicella Ig, is indicated for pregnant women who have been exposed to chickenpox and have no immunity, but this is not necessary in this case as the patient has tested positive for varicella antibody. Option B, quarantine, is not necessary as the patient is already in her last trimester and has likely already been exposed to the virus. Option C, giving varicella vaccination, is not appropriate as the patient is already in her last trimester and the vaccine is not recommended during pregnancy. Option D, oral acyclovir, may be given to a pregnant woman who develops chickenpox, but it is not indicated in this case as the patient has not developed any symptoms and has tested positive for varicella antibody.",e,e,TRUE,
1265.  a 22yo woman who is 20wk pregnant came with pain and bleeding per vagina. exam: os is not open. what is the single most likely dx?,a. threatened abortion,b. missed abortion,c. aph,d. miscarriage,e. inevitable abortion,,,,,,key: the key is a. threatened abortion.,"The correct answer is a. threatened abortion. This is when there is vaginal bleeding and/or uterine contractions in the first 20 weeks of pregnancy, but the cervix is still closed and the fetus is still viable. The other options are incorrect because missed abortion is when the fetus dies but the body does not expel it, aph is an abbreviation for antepartum hemorrhage which occurs after 20 weeks of gestation, miscarriage is the loss of a pregnancy before 20 weeks, and inevitable abortion means the cervix is open and the fetus cannot be saved. In this scenario, there is no indication that the cervix is open or that the fetus has died, therefore it is most likely a threatened abortion.",a,a,TRUE,
"1266. a 32yo lady g1, 28wks ga came to her anc with a concern about pain relief during labour. she has no medical illnesses and her pregnancy so far has been uncomplicated. she wishes to feel her baby being born but at the same time she wants something to work throughout her labour. what method of pain relief best matches this lady’s request?",a. c-section,b. pudendal block,c. entonox,d. tens,e. pethidine,,,,,,"key: the key is c. entonox. [this is a mixture of oxygen and nitrous oxide gas. gas and air won't remove all the pain, but it can help to reduce it and make it more bearable].","The best method of pain relief for the 32-year-old woman in her 28th week of pregnancy who wishes to feel her baby being born but also wants something to work throughout her labour is option C, entonox. Entonox is a mixture of oxygen and nitrous oxide gas that can reduce labour pain and make it more bearable. Option A, c-section, is not a pain relief method but rather a surgical procedure that involves delivering the baby through an incision in the abdomen. Option B, pudendal block, involves injecting a local anesthetic into the pudendal nerve to provide pain relief during the second stage of labour, but this may limit the woman's ability to feel her baby being born. Option D, tens, involves using a small electric current applied to the skin through electrodes to reduce pain, but its effectiveness varies and it may not work well for everyone. Option E, pethidine, is a painkiller that can be injected during labour, but it can make the woman feel drowsy and may affect the baby's breathing. Therefore, entonox is the best option for this woman as it can reduce pain while still allowing her to feel the birth of her baby.",c,c,TRUE,
