,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
1569,1571. a 70yo man presents with a fluctuant swelling of the scrotum which feels like worms when he is standing but regresses when he lies down. what is the most probable dx? ,a. varicocele,b. hematocele,c. testicular ca,d. Epidydimal cyst,e. saphena varix,,,,,,"ans. the key is a. varicocele. [fluctuant swelling of the scrotum which feels like worms are suggestive of varicocele]. 1572. a 52yo woman has had a swelling in the neck, hoarseness and stridor-both inspiratory and expiratory for 2m. what is the most probable dx? ",,,,
1570,"1572. a 52yo woman has had a swelling in the neck, hoarseness and stridor-both inspiratory and expiratory for 2m. what is the most probable dx? ",a. ca larynx,b. ca thyroid,c. vocal chord nodules,d. Ca bronchus,e. thyrotoxicosis,,,,,,"ans. the key is b. ca thyroid. [there is no features of hyperthyroidism. so it is not thyrotoxicosis but ca thyroid]. 1573. a woman became acutely sob in the recovery bay and is coughing after ga. auscultation: reduced air entry at the right lung base and diffuse wheeze. observation: hr=88bpm, bp=112/76mmhg, temp=37.8c and sat=91% in air. choose among the options which c-section complication has she developed? ",,,,
1571,"1573. a woman became acutely sob in the recovery bay and is coughing after ga. auscultation: reduced air entry at the right lung base and diffuse wheeze. observation: hr=88bpm, bp=112/76mmhg, temp=37.8c and sat=91% in air. choose among the options which c-section complication has she developed? ",a. aspiration pneumonitis,b. spontaneous pneumothorax,c. endometritis,d. Pulmonary embolism,e. tension pneumothorax,,,,,,"ans. the key is a. aspiration pneumonitis. [diffuse wheeze, reduced air entry at lung base and raised temperature favours the diagnosis of aspiration pneumonitis]. 1574. a 23yo female presents with paresthesias and loss of distal pulses in her arms. she is noted to be hypertensive. she describes feeling unwell a month prior with fever and night sweats. what is the most probable dx? ",,,,
1572,1574. a 23yo female presents with paresthesias and loss of distal pulses in her arms. she is noted to be hypertensive. she describes feeling unwell a month prior with fever and night sweats. what is the most probable dx? ,a. kawasaki disease,b. takayasu arteritis,c. buerger’s disease,d. Embolism,e. raynaud’s phenomenon,,,,,,"ans. the key is b. takayasu arteritis [takayasu arteritis is a granulomatous inflammation of the aorta and its major branches. criteria: age of 40 years or younger at disease onset claudication of the extremities decreased pulsation of 1 or both brachial arteries difference of at least 10 mm hg in systolic blood pressure between arms bruit over 1 or both subclavian arteries or the abdominal aorta arteriographic narrowing or occlusion of the entire aorta, its primary branches, or large arteries in the upper or lower extremities that is not due to arteriosclerosis, fibromuscular dysplasia, or other causes]. 1575. a 35yo woman presents with mass in the groin. exam: mass found just below and lateral to the pubic tubercle. there is no cough impulse and it is irreducible. what is the most probable dx? ",,,,
1573,1575. a 35yo woman presents with mass in the groin. exam: mass found just below and lateral to the pubic tubercle. there is no cough impulse and it is irreducible. what is the most probable dx? ,a. direct inguinal hernia,b. strangulated hernia,c. femoral hernia,d. Saphenavarix,e. femoral aneurysm,,,,,,"ans. the key is c. femoral hernia. [mass below and lateral to the pubic tubercle is suggestive of femoral hernia]. 1576. a 30yo woman has injured her left lower chest in a rta. she has bp=80/50mmhg, pulse=120bpm. auscultation of chest=bowel sounds present. what is the single most likely dx? ",,,,
1574,"1576. a 30yo woman has injured her left lower chest in a rta. she has bp=80/50mmhg, pulse=120bpm. auscultation of chest=bowel sounds present. what is the single most likely dx? ",a. diaphragmatic rupture,b. flail chest,c. fx ribs,d. Ruptured esophagus,e. tension pneumothorax,,,,,,ans. the key is a. diaphragmatic rupture. [bowel sound present on auscultation of chest following rta causing lower chest injury is suggestive of diaphragmatic rupture]. 1577. a lady presents with a swelling below the groin crease that can be reduced. there is no med hx of note. what is the most probable dx? ,,,,
1575,1577. a lady presents with a swelling below the groin crease that can be reduced. there is no med hx of note. what is the most probable dx? ,a. inguinal hernia,b. strangulated hernia,c. testicular tumor,d. Epidydimal cyst,e. femoral hernia,,,,,,"ans. the key is e. femoral hernia. 1578. a 32yo woman of 38wks ga attends the antenatal day unit with pain in the suprapubic area that radiates to the upper thighs and perineum. it is worse on walking. her urine dipstick showed a trace of protein but no white cells, nitrates or blood. what’s the most likely dx? ",,,,
1576,"1578. a 32yo woman of 38wks ga attends the antenatal day unit with pain in the suprapubic area that radiates to the upper thighs and perineum. it is worse on walking. her urine dipstick showed a trace of protein but no white cells, nitrates or blood. what’s the most likely dx? ",a. braxton hicks contractions,b. round ligament stretching,c. symphasis pubis dysfunction,d. Labor,e. complicated femoral hernia,,,,,,"ans. the key is c. symphysis pubis dysfunction. [symptoms can include: pain over the pubic bone at the front in the centre pain across one or both sides of lower back pain in the area between vagina and anus (perineum) pain can also radiate to thighs. cause: stiffness of pelvic joints or the joints moving unevenly at either the back or front of pelvis during pregnancy. physiotherapy is helpful]. [ref: nhs] 1579. a 45yo mechanic presents with a reducible swelling in the groin, impulse on coughing is present. he has mild dragging pain in the abdomen, otherwise he’s normal. what is the best management strategy? ",,,,
1577,"1579. a 45yo mechanic presents with a reducible swelling in the groin, impulse on coughing is present. he has mild dragging pain in the abdomen, otherwise he’s normal. what is the best management strategy? ",a. truss,b. elective herniorrhaphy,c. urgent herniorrhaphy,d. Elective herniotomy,e. reassure,,,,,,"ans. the key is d. elective herniotomy. this is wrong key! correct key is b. elective herniorrhaphy. [usually before the age of 30, recurrence rate of hernia after herniotomy is much less but after 30 recurrence is high. so herniotomy is done at the age less than 30. as the presenting case is of 45 yrs we should do herniorrhaphy in this patient]. 1580. a 25yo man present with a mass in the groin after heavy lifting. exam: mass is found just above and medial to the pubic tubercle. it is reducible. on applying pressure on the internal ring, cough impulse is still present. what is the most likely dx? ",,,,
1578,"1580. a 25yo man present with a mass in the groin after heavy lifting. exam: mass is found just above and medial to the pubic tubercle. it is reducible. on applying pressure on the internal ring, cough impulse is still present. what is the most likely dx? ",a. direct inguinal hernia,b. indirect inguinal hernia,c. femoral hernia,d. Strangulated hernia,e. femoral aneurysm,,,,,,"ans. the key is a. direct inguinalhernia. [on occlusion of deep inguinal ring if cough impulse still present (visible cough impulse) on medial to occluded ring it is direct inguinal hernia]. [cough impulse negative means after occluding deep ring there will be no visible cough impulse and positive means there will be visible cough impulse. negative cough impulse=indirect hernia; positive cough impulse=direct inguinal hernia]. 1581. a 35yo woman presents with a swelling in the neck. the swelling has increased in size gradually over the last two years and the patient feels she has difficulty with breathing. exam: mass measures 8cm by 10 cm, soft and not warm to touch. it moves with deglutition. which is the most appropriate management of this mass? ",,,,
1579,"1581. a 35yo woman presents with a swelling in the neck. the swelling has increased in size gradually over the last two years and the patient feels she has difficulty with breathing. exam: mass measures 8cm by 10 cm, soft and not warm to touch. it moves with deglutition. which is the most appropriate management of this mass? ",a. partial thyroidectomy,b. oral thyroxine,c. oral propylthiouracil,d. Excision biopsy,,,,,,,ans. the key is a. partial thyroidectomy. [gradually increased swelling in the neck which moves with deglutition is thyroid enlargement and as it is causing pressure symptom like difficulty in breathing a partial thyroidectomy should be performed]. 1582. a 46yo laborer reports swelling in the right groin. the non-painful swelling is observable in both the erect and the recumbent positions. exam: non-tender irreducible 4 cm mass in the right groin below and on the medial side of the inguinal ligament. which is the most likely dx in this pt? ,,,,
1580,1582. a 46yo laborer reports swelling in the right groin. the non-painful swelling is observable in both the erect and the recumbent positions. exam: non-tender irreducible 4 cm mass in the right groin below and on the medial side of the inguinal ligament. which is the most likely dx in this pt? ,a. indirect inguinal hernia,b. femoral hernia,c. saphenous vein varicocoele,d. Hydrocoele,,,,,,,"ans. the key is c. saphenous vein varicocele. this is a wrong key! correct key is b. femoral hernia. [sephanous vein varicocele is readily reducible with recumbent position. so presented case is not sephanavarix. usual location of femoral hernia is below and lateral to pubic tubercle but it is not absolute and it is possible for femoral hernia to present as mass below and medial to pubic tubercle. so the presented case is a case of femoral hernia]. 1583. a camel rider sustained a kick to the lateral side of his right leg just below the knee caused by the camel stick. the site is slightly bruised and tender to touch. during physical examination, he is unable to either dorsiflex or evert the foot. there is loss of sensation over the front and outer half of the leg and dorsum of the foot. if these observations are the result of damage to a nerve bundle, which is the most likely nerve affected? ",,,,
1581,"1583. a camel rider sustained a kick to the lateral side of his right leg just below the knee caused by the camel stick. the site is slightly bruised and tender to touch. during physical examination, he is unable to either dorsiflex or evert the foot. there is loss of sensation over the front and outer half of the leg and dorsum of the foot. if these observations are the result of damage to a nerve bundle, which is the most likely nerve affected? ",a. lateral popliteal,b. peroneal,c. tibia,d. Sural,,,,,,,"ans. the key is b. peroneal. [inability of dorsiflex and foot eversion with sensory loss over front and outer half of leg and dorsum of foot are seen in peroneal nerve injury]. 1584. a 46yo woman presents with sudden episode of abdominal pain which started about 2h ago. the pain is located in the epigastrium and radiates to her back. she has vomited twice since the onset of attack. the pain is made worse by lying flat on her back and she is more comfortable sitting up and bending forwards. she was informed of the presence of gallstones in her gall bladder four weeks earlier when she reported pain in the right hypochondrium. the oral temp=39c, bp=120/80mmhg and the radial pulse=118/min. there is no jaundice but there is marked tenderness in the epigastrium both on deep and superficial palpations. which is the most appropriate inv for the cause of the patient’s pain? ",,,,
1582,"1584. a 46yo woman presents with sudden episode of abdominal pain which started about 2h ago. the pain is located in the epigastrium and radiates to her back. she has vomited twice since the onset of attack. the pain is made worse by lying flat on her back and she is more comfortable sitting up and bending forwards. she was informed of the presence of gallstones in her gall bladder four weeks earlier when she reported pain in the right hypochondrium. the oral temp=39c, bp=120/80mmhg and the radial pulse=118/min. there is no jaundice but there is marked tenderness in the epigastrium both on deep and superficial palpations. which is the most appropriate inv for the cause of the patient’s pain? ",a. plain abdominal x-ray,b. serum amylase,c. serum bilirubin,d. Barium Swallow,,,,,,,"ans. the key is b. serum amylase. [epigastric pain radiating to back, worse on lying flat and comfort on bending forward are classic presentation of acute pancreatitis in which serum amylase is increased]. 1585. a 75yo japanese woman reports repeated episodes of vomiting of undigested food mixed with blood. she has lost 5 kgs in weight over the last one month. clinical exam: shows a frail woman with mild conjuctival palor. exam: non-tender slightly mobile mass in the epigastric region. which is the most likely dx? ",,,,
1583,1585. a 75yo japanese woman reports repeated episodes of vomiting of undigested food mixed with blood. she has lost 5 kgs in weight over the last one month. clinical exam: shows a frail woman with mild conjuctival palor. exam: non-tender slightly mobile mass in the epigastric region. which is the most likely dx? ,a. colon cancer,b. gastric cancer,c. gall bladder cancer,d. Oesophageal cancer,,,,,,,"ans. the key is b. gastric cancer. [non-tender mass in epigastrium, conjunctival pallor (anemia), weight loss, vomiting of undigested food mixed with blood due to pyloric obstruction by cancer mass and particularly japanese (highest incidence of gastric cancer due to taking smoked fish) are suggestive of gastric cancer]. 1586. a 45yo man, known to be chronically addicted to alcohol, presents in the ed and reports two episodes of vomiting fresh bright red blood in the previous 6h. he estimated the volume blood vomited at each bout to be more than 500mls. clinical exam: the radial pulse=120/min, bp=90/60mmhg. there is no mass or tenderness in the epigastrium. the liver is palpable for 3 cm below the costal margin and not tender. the patient is not jaundiced. the physician resuscitates the patient with oxygen by face mask, rapid infusion of intravenous normal saline while he requests for haemoglobin level and whole blood for transfusion. which is next appropriate step in management? ",,,,
1584,"1586. a 45yo man, known to be chronically addicted to alcohol, presents in the ed and reports two episodes of vomiting fresh bright red blood in the previous 6h. he estimated the volume blood vomited at each bout to be more than 500mls. clinical exam: the radial pulse=120/min, bp=90/60mmhg. there is no mass or tenderness in the epigastrium. the liver is palpable for 3 cm below the costal margin and not tender. the patient is not jaundiced. the physician resuscitates the patient with oxygen by face mask, rapid infusion of intravenous normal saline while he requests for haemoglobin level and whole blood for transfusion. which is next appropriate step in management? ",a. barium swallow,b. exploratory laparotomy,c. ct scan of the abdomen,d. Upper gastrointestinal endoscopy,,,,,,,ans. the key is d. uppergastrointestinal endoscopy. [the likely diagnosis is bleeding oesophageal varices which should be diagnosed by endoscopy and if needed stappling can be done with endoscope]. 1587. a 42yo woman reports to the surgeon that she is worried about a lump that she feels the right breast. the surgeon observes a 2 cm by 3 cm mass in the right lower quadrant of the breast. there are no associated skin changes and the mass has limited mobility. there is no discharge from the nipple. there is no axillary lymph node enlargement. examination of the left breast and axilla was completely normal. a mammogram report suggests the presence of microcalcifications. which is the most appropriate next step in the management of this pt? ,,,,
1585,1587. a 42yo woman reports to the surgeon that she is worried about a lump that she feels the right breast. the surgeon observes a 2 cm by 3 cm mass in the right lower quadrant of the breast. there are no associated skin changes and the mass has limited mobility. there is no discharge from the nipple. there is no axillary lymph node enlargement. examination of the left breast and axilla was completely normal. a mammogram report suggests the presence of microcalcifications. which is the most appropriate next step in the management of this pt? ,a. observation for one year and repeat the mammography,b. a needle-guided biopsy of the breast,c. excision biopsy of the breast,d. Partial mastectomy,,,,,,,ans. the key is b. a needle-guided biopsy of the breast. 1588. a 45yo man presents with a mass on the right side of the face. the mass was first observed three months ago but has recently become visibly larger. he feels pain over the mass and is unable to blow a whistle. clinical examination shows that the mass is likely to be the parotid gland. an oral examination shows a foul smelling discharge from the duct of the gland and gentle probing shows that it is stenosed at the meatus. which of the following features suggests that the mass might be malignant? ,,,,
1586,1588. a 45yo man presents with a mass on the right side of the face. the mass was first observed three months ago but has recently become visibly larger. he feels pain over the mass and is unable to blow a whistle. clinical examination shows that the mass is likely to be the parotid gland. an oral examination shows a foul smelling discharge from the duct of the gland and gentle probing shows that it is stenosed at the meatus. which of the following features suggests that the mass might be malignant? ,a. presence of pain,b. recent enlargement,c. facial nerve palsy,d. Stenosed duct meatus,,,,,,,ans. the key is c. facial nerve palsy. [due to malignant infiltration]. 1589. a 6yo boy presents with jaundice following treatment with sulphathiazole. investigations suggest that the jaundice is due to haemolysis caused by g6dp deficiency. which is true regarding etiology of g6dp deficiency? ,,,,
1587,1589. a 6yo boy presents with jaundice following treatment with sulphathiazole. investigations suggest that the jaundice is due to haemolysis caused by g6dp deficiency. which is true regarding etiology of g6dp deficiency? ,a. inherited as autosomal dominant condition,b. inherited as sex-linked dominant condition,c. inherited as sex-linked recessive condition,d. Results from auto-antibodies to red cell antigens,,,,,,,"ans. the key is c. inherited as sex-linked recessive condition. 1590. a 5yo previously healthy child has a 1-day history of severe pain in the throat, breathing difficulties and fever. on examination you find an anxious, septic-looking child with drooling of saliva and stridor. which is the most appropriate initial management? ",,,,
1588,"1590. a 5yo previously healthy child has a 1-day history of severe pain in the throat, breathing difficulties and fever. on examination you find an anxious, septic-looking child with drooling of saliva and stridor. which is the most appropriate initial management? ",a. intubation under general anaesthesia,b. insertion of nasogastric tube,c. fluid resuscitation and antibiotics iv,d. Anteroposterior & lateral neck x-ray,,,,,,,ans. the key is a. intubation under general anesthesia. [acute epiglottitis. should intubate to save from closure of airway]. 1591. a 6yo boy has been noticed to have problems with co-ordinating his voluntary movements over the last two years. he has a waddling gait and needs to support himself on his hands when rising from the floor. he has larger calves than other boys but he runs more slowly. which is the most likely dx? ,,,,
1589,1591. a 6yo boy has been noticed to have problems with co-ordinating his voluntary movements over the last two years. he has a waddling gait and needs to support himself on his hands when rising from the floor. he has larger calves than other boys but he runs more slowly. which is the most likely dx? ,a. myotonia,b. myasthenia gravis,c. duchenne muscular dystrophy,d. Muscular atrophy,,,,,,,"ans. the key is c. duchenne muscular dystrophy. [the child having difficulty with walking, running, jumping and climbing stairs. walking may look different with a 'waddling' type of walk. the boy may be late in starting to walk (although many children without dmd also walk late). when you pick the child up, you may feel as if he 'slips through your hands', due to looseness of the muscles around the shoulder. the calf muscles may look bulky, although they are not strong. as he gets older, the child may use his hands to help him get up, looking as if he is 'climbing up his legs'. this is called 'gower's sign']. 1592. a previously healthy, 10m female child presents to your clinic with a 1-day history of high fever, runny nose and conjunctivitis. the child looks unwell and is irritable. exam: child's oropharynx shows that it is inflammed and there are small white spots on the oral mucosa. which is the most likely dx? ",,,,
1590,"1592. a previously healthy, 10m female child presents to your clinic with a 1-day history of high fever, runny nose and conjunctivitis. the child looks unwell and is irritable. exam: child's oropharynx shows that it is inflammed and there are small white spots on the oral mucosa. which is the most likely dx? ",a. kawasaki disease,b. parvovirus infection,c. herpes zoster,d. Measles,,,,,,,"ans. the key is d. measles. [koplick’s spots are characteristic of measles]. 1593. a 3d term, breast-fed infant is brought by the mother who reports that the child has not been active and not feeding well. she also notices jaundice, which was not present at birth and is ",,,,
1591,"1593. a 3d term, breast-fed infant is brought by the mother who reports that the child has not been active and not feeding well. she also notices jaundice, which was not present at birth and is increasing. exam: the temp=35.4°c, and the liver is palpable 2 cm below the costal margin. which is the most likely dx? ",a. rhesus isoimmunisation,b. inadequate breast milk,c. congenital biliary tract obstruction.,d. Sepsis,,,,,,,"ans. the key is d. sepsis. [not active, not feeding well, increasing new onset jaundice and hypothermia are suggestive of neonatal sepsis]. 1594. a 65yo woman with dm, htn and normal kidney function underwent a total right hip replacement. she had massive haemorrhage during the operation and was given 8 units of packed rbc. the blood pressure dropped to 60/40 mm hg for about two hours before it was corrected with blood transfusion. two days after the surgery the serum creatinine level rose to 4.2 mg/dl (normal <1.5 mg/dl), bun was 50 mg/dl (normal 10-20 mg/dl) and potassium 5.0 mmol/l (normal 3.5-5.0 mmol/l). there were brown granular casts in the urine sediment. which is the most likely cause of this complication? ",,,,
1592,"1594. a 65yo woman with dm, htn and normal kidney function underwent a total right hip replacement. she had massive haemorrhage during the operation and was given 8 units of packed rbc. the blood pressure dropped to 60/40 mm hg for about two hours before it was corrected with blood transfusion. two days after the surgery the serum creatinine level rose to 4.2 mg/dl (normal <1.5 mg/dl), bun was 50 mg/dl (normal 10-20 mg/dl) and potassium 5.0 mmol/l (normal 3.5-5.0 mmol/l). there were brown granular casts in the urine sediment. which is the most likely cause of this complication? ",a. diabetic nephropathy,b. malignant hypertension,c. acute tubular necrosis,d. Interstitial nephritis,,,,,,,"ans. the key is c. acute tubular necrosis. [hypotension even for some minutes or few hours can readily lead to acute tubular necrosis which is evident here by uremia and further supported by brown granular cast in the urine sediment]. 1995. a 78yo pt is diagnosed with metastatic lung cancer; there is no cure for his condition. his son tells the physician that in the case of a diagnosis of cancer, the physician must not tell his father. he wishes that his father does not suffer any psychological distress caused by the knowledge of a terminal diagnosis. which one of the following ethical principles supports the son’s request? a. patient autonomy b. beneficence c. justice d. non-maleficence ans. the key is d. non-maleficence. [nonmaleficence means non-harming or inflicting the least harm possible to reach a beneficial outcome]. 1596. a 23yo single male was brought to emergency exhausted and frightened. his father tells you that his son, who was previously healthy, had, for no apparent reason, a sudden attack of fear, dizziness, sweating, palpitations and the feeling that his heart is going to stop beating. the symptoms started to decrease gradually after about 10 minutes. which is the most likely dx? ",,,,
1593,"1596. a 23yo single male was brought to emergency exhausted and frightened. his father tells you that his son, who was previously healthy, had, for no apparent reason, a sudden attack of fear, dizziness, sweating, palpitations and the feeling that his heart is going to stop beating. the symptoms started to decrease gradually after about 10 minutes. which is the most likely dx? ",a. panic attack,b. delirious state,c. alcohol withdrawal phenomena,d. Social phobia,,,,,,,"ans. the key is a. panic attack. [a sudden feeling of acute and disabling anxiety; often fear of death]. 1597. a 30yo woman, g2p1, at 37 weeks gestation mentions that her 3-year-old son has just developed chickenpox. she is not certain whether she has had the disease herself. which is the next step in management? ",,,,
1594,"1597. a 30yo woman, g2p1, at 37 weeks gestation mentions that her 3-year-old son has just developed chickenpox. she is not certain whether she has had the disease herself. which is the next step in management? ",a. administration of varicella-zoster immune globulin im,b. measurement of varicella igm level,c. acyclovir tablets orally,d. Measurement of varicella IgG level,,,,,,,"ans. the key is d. measurement of varicella igg level. [if previous infection is doubtful do varicella igg level]. 1598. a 24yo primigravida presents to the ed with a history of 8-week amenorrhoea followed by heavy vaginal bleeding and severe, crampy abdominal pain. exam: hr=110/min and bp=120/80mmhg. the uterus is bulky. the cervix is dilated and there is active bleeding from the cervical os, but no tissue has been expelled. which of the following is the most likely dx? ",,,,
1595,"1598. a 24yo primigravida presents to the ed with a history of 8-week amenorrhoea followed by heavy vaginal bleeding and severe, crampy abdominal pain. exam: hr=110/min and bp=120/80mmhg. the uterus is bulky. the cervix is dilated and there is active bleeding from the cervical os, but no tissue has been expelled. which of the following is the most likely dx? ",a. inevitable abortion,b. threatened abortion,c. incomplete abortion,d. Missed Abortion,,,,,,,"ans. the key is a. inevitable abortion. [when os is closed threatened and when os is opened inevitable abortion (no tissue has been expelled)]. 1599. a 46yo woman comes for a routine gynaecological visit. on pelvic examination, a 1-cm red, granular lesion is noted on the posterior cervical lip, which is firm and bleeds on contact. which is the next best step for establishing a dx? ",,,,
1596,"1599. a 46yo woman comes for a routine gynaecological visit. on pelvic examination, a 1-cm red, granular lesion is noted on the posterior cervical lip, which is firm and bleeds on contact. which is the next best step for establishing a dx? ",a. cervical cytological smear,b. punch biopsy,c. transvaginal ultrasound,d. Colposcopy,,,,,,,"ans. the key is b. punch biopsy. 1600. a 31yo woman, g5p4, who has amenorrhoea for 12 weeks and a positive pregnancy test presents to the ed with vaginal bleeding. symphysial-fundal height measurement corresponds to 22 weeks gestation. ultrasound examination reveals bilateral cystic masses. no fetal parts are seen during the examination. the cervix is closed. which is the most likely dx? ",,,,
1597,"1600. a 31yo woman, g5p4, who has amenorrhoea for 12 weeks and a positive pregnancy test presents to the ed with vaginal bleeding. symphysial-fundal height measurement corresponds to 22 weeks gestation. ultrasound examination reveals bilateral cystic masses. no fetal parts are seen during the examination. the cervix is closed. which is the most likely dx? ",a. tubal pregnancy,b. endometriosis,c. hydatidiform mole,d. Threatened abortion,,,,,,,"ans. the key is c. hydatidiform mole. [in molar pregnancy uterus is more enlarged than gestational age and on us no fetal part but cystic masses are seen]. the final set (1601-1700) is done by dr. arif siddiqui and edited by me. thanks dr. siddiqui for his kind contribution! 1601. a married 25yo woman presents with 6h hx of abdominal pain located in the lif. the pain is persistent, of increasing intensity and not radiating first experienced while she was lying down. she feels giddy when she tries to stand erect. the last menstrual period was 6 weeks ago. the radial pulse=130/min and bp=80/40 mmhg. pelvic us shows free intra-peritoneal fluid. what is the most appropriate next step in management? ",,,,
1598,"1601. a married 25yo woman presents with 6h hx of abdominal pain located in the lif. the pain is persistent, of increasing intensity and not radiating first experienced while she was lying down. she feels giddy when she tries to stand erect. the last menstrual period was 6 weeks ago. the radial pulse=130/min and bp=80/40 mmhg. pelvic us shows free intra-peritoneal fluid. what is the most appropriate next step in management? ",a. immediate laparoscopy.,b. immediate laparotomy.,c. pregnancy test (urine or serum).,d. Observation for 24 hours in the ICU,,,,,,,ans. the key is b. immediate laparotomy. [as the patient is in shock it is ruptured ectopic pregnancy. so the next step is immediate laparotomy]. 1602. a 40yo man has fallen off a roof. he is shocked and has chest pain. there is a delay between the radial and femoral pulse. his cxr=widening of the mediastinum. what is the single most likely dx? ,,,,
1599,1602. a 40yo man has fallen off a roof. he is shocked and has chest pain. there is a delay between the radial and femoral pulse. his cxr=widening of the mediastinum. what is the single most likely dx? ,a. cardiac tamponade,b. diaphragmatic rupture,c. fx ribs,d. Tension pneumothorax,e. traumatic rupture of aorta,,,,,,"ans. the key is e. traumatic rupture of the aorta. [a traumatic aortic disruption is caused by a rapid acceleration (or deceleration) causing a tear in the aorta. normally this is immediately fatal, but those who survive may show a widened mediastinum on cxr. this can be confirmed with ct scan or angiography of the aorta and requires prompt surgical correction. stable the haemodynamics and surgical correction. note: pts with diaphragmatic rupture usually presents days after trauma with vague symptoms, history is vital]. 1603. a 36yo woman presents with swelling in the groin. exam: swelling is diffuse and soft and lies below the inguinal ligament. it empties with minimal pressure and refills with release. there is a cough impulse and it disappears on lying down. on the calf of the same leg there are varicosities on the medial aspect. what is the most likely dx? ",,,,
1600,1603. a 36yo woman presents with swelling in the groin. exam: swelling is diffuse and soft and lies below the inguinal ligament. it empties with minimal pressure and refills with release. there is a cough impulse and it disappears on lying down. on the calf of the same leg there are varicosities on the medial aspect. what is the most likely dx? ,a. varicose vein,b. varicocele,c. saphena varix,d. Femoral hernia,e. inguinal hernia,,,,,,"ans. the key is c. saphena varix. [below inguinal ligament, empties with minimal pressure and refills with release, presence of cough impulse and disappearance on lying down are suggestive of caphena varix supported by presence of varicosity in same leg]. 1604. a man presents with a swelling above the groin crease in the abdomen. he has not had any med problems of note. what is the most probable dx? ",,,,
1601,1604. a man presents with a swelling above the groin crease in the abdomen. he has not had any med problems of note. what is the most probable dx? ,a. inguinal hernia,b. spigelian hernia,c. testicular tumor,d. Epidydimal cyst,e. irreducible hernia,,,,,,"ans. b. spigelian hernia. [a spigelian hernia (or lateral ventral hernia) is a hernia through the spigelian fascia, which is the aponeurotic layer between the rectus abdominis muscle medially, and the semilunar line laterally]. 1605. a 70yo man presents with acutely painful, pale paralysed and pulseless left leg. he is noted to have a-fib. what is the most probable dx? ",,,,
1602,"1605. a 70yo man presents with acutely painful, pale paralysed and pulseless left leg. he is noted to have a-fib. what is the most probable dx? ",a. intermittent claudication,b. cardiovascular syphilis,c. buerger’s disease,d. Chronic limb ischemia,e. acute limb ischemia,,,,,,ans. the key is e. acute limb ischemia. [af may be the cause of thrombus leading to embolic acute limb ischemia]. 1606. a 50yo woman complains of several months hx of weakness and difficulty climbing stairs. exam: fissuring of the skin of her hands. cxr: pulmonary fibrosis. what is the single most likely positive antibody? ,,,,
1603,1606. a 50yo woman complains of several months hx of weakness and difficulty climbing stairs. exam: fissuring of the skin of her hands. cxr: pulmonary fibrosis. what is the single most likely positive antibody? ,a. anti jo1,b. anti scl 70,c. anti ro,d. Anti dsDNA,e. anti centromere,,,,,,"ans. a. anti jo1. [anticentromere would be present in limited scleroderma and anti-scl 70 would be present in diffuse scleroderma. anti-dsdna would be positive in sle, along with anti-ro. anti-ro is also positive in sjogren’s syndrome and scleroderma. this is a case of polymyositis because none of the others would have the muscular weakness that is present in this case. the antibody of choice would be anti jo1 antibody]. 1607. a 65yo woman complaining of symptoms suggestive of raynaud’s phenomenon and difficulty in swallowing. exam: painful lesions on her finger tips and facial telangiectasis. what is the single most likely positive antibody? ",,,,
1604,1607. a 65yo woman complaining of symptoms suggestive of raynaud’s phenomenon and difficulty in swallowing. exam: painful lesions on her finger tips and facial telangiectasis. what is the single most likely positive antibody? ,a. anti jo1,b. anti scl 70,c. anti ro,d. Anti ds DNA,e. anti centromere,,,,,,key: anti-centromere (e) reason: anti-centromere antibody would be present in crest syndrome which is also called limited scleroderma. features of given case are consistent with crest syndrome and hence the answer is e. anti centromere antibody]. 1608. a 6yo boy presented about 4h ago with acute severe pain on the testis with the left half slightly higher than the right. pain was not relieved by any strong analgesic. what is the initial ,,,,
1605,1608. a 6yo boy presented about 4h ago with acute severe pain on the testis with the left half slightly higher than the right. pain was not relieved by any strong analgesic. what is the initial management? ,a. give strong analgesic,b. iv ns and monitor vital signs,c. reassure,d. Immediate surgical referral,e. cover with antibiotics,,,,,,ans. the key is d. immediate surgical referral. [dx torsion of testis]. 1609. a 60yo man is brought to the ed in an agitated state. he is lashing out violently. which drug in low dosage due to its relative lack of autonomic side effects is a drug of choice in the tx of agitation in this pt? ,,,,
1606,1609. a 60yo man is brought to the ed in an agitated state. he is lashing out violently. which drug in low dosage due to its relative lack of autonomic side effects is a drug of choice in the tx of agitation in this pt? ,a. haloperidol,b. diazepam,c. fluoxetine,d. Clozapine,e. chlorpromazine,,,,,,"ans. the key is a. haloperidol. it is a wrong key. correct key is diazepam. [haloperidol has autonomic side effects]. 1610. a 32yo woman of 40wks gestation attends the antenatal day unit with sudden onset epigastric pain with nausea and vomiting. she is clinically jaundiced. her biochemistry results show a raised bilirubin, abnormal liver enzymes, high uric acid and hypoglycemia. what’s the most likely dx? ",,,,
